,Unnamed: 0,College/Major,Graduates,Respondents,% Respondents,Employed,% Employed,Reported Salary,% Reported Salary,25th Percentile,Median,75th Percentile
1,2,College of Agriculture and Life Sciences,634,336,0.53,75,0.23,51,0.68,32375.0,40000.0,45000.0
2,3,Agribusiness,20,12,0.6,7,0.58,6,0.85,,41000.0,
3,4,Agricultural Sciences,22,15,0.68,6,0.4,2,0.33,,,
4,5,Agricultural Technology,49,12,0.24,5,0.42,4,0.8,,37500.0,
5,6,Animal & Poultry Sciences,96,58,0.6,10,0.18,8,0.8,,37850.0,
6,7,Applied Economic Management,39,20,0.51,9,0.45,4,0.44,,45750.0,
7,8,Biochemistry,41,16,0.39,1,0.06,0,0.0,,,
8,9,Crop & Soil Environ Sciences,12,4,0.33,2,0.5,2,1.0,,,
9,10,Crop & Soil Environmental Science,3,3,1.0,2,0.67,2,1.0,,,
10,11,Dairy Science,17,12,0.71,5,0.41,4,0.8,,38750.0,
11,12,Environmental Horticulture,17,8,0.47,3,0.38,2,0.66,,,
12,13,Environmental Science,33,20,0.61,8,0.4,8,1.0,,32000.0,
13,14,Food Science & Technology,32,21,0.66,7,0.33,7,1.0,,45000.0,
14,15,Human Nutrition Foods & Exercise,248,132,0.53,10,0.08,2,0.2,,,
15,16,Landscape Contracting,6,3,0.5,0,0.0,0,-0.01,,,
16,17,College of Architecture and Urban Studies,294,144,0.49,52,0.36,38,0.73,41000.0,45000.0,51000.0
17,18,Architecture,92,53,0.58,23,0.43,16,0.69,42000.0,45000.0,50000.0
18,19,Art,8,3,0.38,0,0.0,0,-0.01,,,
19,20,Art (Fine Arts),46,20,0.43,4,0.2,2,0.5,,,
20,21,Building Construction,25,9,0.36,3,0.33,2,0.66,,,
21,22,Environmental Policy & Planning,24,10,0.42,4,0.4,1,0.25,,,
22,23,Industrial Design,25,10,0.4,3,0.3,3,1.0,,,
23,24,Interior Design,33,17,0.52,10,0.59,9,0.9,,43500.0,
24,25,Landscape Architecture,22,10,0.45,3,0.3,3,1.0,,,
25,26,Public and Urban Affairs,16,10,0.63,2,0.2,2,1.0,,,
26,27,Real Estate,3,2,0.67,0,0.0,0,-0.01,,,
27,28,College of Engineering,1637,1007,0.62,505,0.5,433,0.85,58000.0,65000.0,72375.0
28,29,Aerospace Engineering,132,77,0.58,35,0.44,29,0.82,57500.0,62000.0,68750.0
29,30,Biological Systems Engineering,50,29,0.58,8,0.27,6,0.75,,61000.0,
30,31,Chemical Engineering,106,64,0.6,33,0.53,30,0.9,63300.0,69500.0,75000.0
31,32,Civil Engineering,159,122,0.77,47,0.39,42,0.89,53500.0,58000.0,60680.0
32,33,Computer Engineering,85,51,0.6,34,0.67,28,0.82,66750.0,71000.0,90000.0
33,34,Computer Science,183,120,0.66,70,0.59,63,0.9,66176.0,79000.0,95000.0
34,35,Construction Engineering & Management,39,28,0.72,15,0.56,15,1.0,54575.0,58000.0,61250.0
35,36,"Dual, Aerospace Engineering (Aero plus Ocean)",16,8,0.5,3,0.38,0,0.0,,,
36,37,"Dual, Ocean Engineering (Ocean plus Aero)",11,6,0.55,3,0.5,2,0.66,,,
37,38,Electrical Engineering,122,74,0.61,31,0.42,26,0.83,53816.0,65000.0,66250.0
38,39,Engineering Science & Mechanics,40,25,0.63,11,0.44,10,0.9,,67000.0,
39,40,Industrial & Systems Engineering,213,117,0.55,69,0.6,65,0.94,61250.0,65000.0,72500.0
40,41,Materials Science & Engineering,40,22,0.55,11,0.5,10,0.9,,64500.0,
41,42,Mechanical Engineering,373,225,0.6,109,0.48,87,0.79,55488.0,64000.0,69000.0
42,43,Mining Engineering,55,31,0.56,20,0.67,16,0.8,52000.0,59000.0,67500.0
43,44,Ocean Engineering,13,8,0.62,6,0.76,4,0.66,,61997.0,
44,45,College of Liberal Arts and Human Sciences,987,539,0.55,134,0.24,89,0.66,30000.0,35000.0,45000.0
45,46,"Apparel, Housing and Resource Management",20,10,0.5,2,0.2,1,0.5,,,
46,47,Classical Studies,6,3,0.5,0,0.0,0,-0.01,,,
47,48,Communication,33,31,0.94,16,0.51,11,0.68,,35000.0,
48,49,Communication Studies,14,9,0.64,1,0.11,1,1.0,,,
49,50,Consumer Studies,17,8,0.47,5,0.63,5,1.0,,50004.0,
50,51,English,86,52,0.6,6,0.12,5,0.83,,58000.0,
51,52,Fashion Merchandising and Design,22,5,0.23,2,0.4,2,1.0,,,
52,53,French,5,4,0.8,0,0.0,0,-0.01,,,
53,54,German,2,2,1.0,0,0.0,0,-0.01,,,
54,55,History,96,48,0.5,11,0.24,7,0.63,,34000.0,
55,56,Human Development,184,102,0.55,14,0.14,12,0.85,18000.0,24000.0,30000.0
56,57,"Humanities, Science & Environment",5,0,0.0,0,-0.01,0,-0.01,,,
57,58,Interdisciplinary Studies,2,1,0.5,0,0.0,0,-0.01,,,
58,59,International Studies,102,50,0.49,13,0.26,9,0.69,,50000.0,
59,60,Multimedia Journalism,40,22,0.55,6,0.28,2,0.33,,,
60,61,Music,20,14,0.7,1,0.07,1,1.0,,,
61,62,Philosophy,11,9,0.82,4,0.44,4,1.0,,30250.0,
62,63,Political Science,126,60,0.48,13,0.22,7,0.53,,40000.0,
63,64,Property Management,14,5,0.36,1,0.2,0,0.0,,,
64,65,Public Relations,94,48,0.51,22,0.46,14,0.63,30000.0,36500.0,42000.0
65,66,Religion and Culture,4,4,1.0,2,0.5,1,0.5,,,
66,67,Russian,4,2,0.5,1,0.5,1,1.0,,,
67,68,Sociology,34,19,0.56,6,0.32,3,0.5,,,
68,69,Spanish,12,12,1.0,3,0.25,0,0.0,,,
69,70,Theatre Arts,24,11,0.46,1,0.09,0,0.0,,,
70,71,College of Natural Resources and Environment,196,109,0.56,38,0.35,27,0.71,19500.0,35000.0,45250.0
71,72,Environmental Resources Management,15,9,0.6,0,0.0,0,-0.01,,,
72,73,Fish Conservation,11,4,0.36,3,0.75,2,0.66,,,
73,74,Forestry,14,8,0.57,6,0.75,3,0.5,,,
74,75,Geography,45,27,0.6,6,0.22,4,0.66,,18750.0,
75,76,Meteorology,31,14,0.45,4,0.28,3,0.75,,,
76,77,Natural Resources Conservation,20,14,0.7,5,0.36,3,0.6,,,
77,78,Packaging Systems and Design,15,6,0.4,3,0.5,3,1.0,,,
78,79,Sustainable Biomaterials,12,4,0.33,2,0.5,1,0.5,,,
79,80,Wildlife Conservation,29,20,0.69,8,0.4,7,0.87,,21000.0,
80,81,Wood Science & Forest Products,4,3,0.75,1,0.33,1,1.0,,,
81,82,College of Science,907,511,0.56,74,0.15,54,0.72,31600.0,47000.0,62850.0
82,83,Biochemistry (SCI),88,41,0.47,5,0.12,4,0.8,,48200.0,
83,84,Biological Sciences,329,197,0.6,20,0.11,15,0.75,21125.0,30000.0,37250.0
84,85,Chemistry,33,13,0.39,1,0.08,0,0.0,,,
85,86,Economics,78,46,0.59,19,0.41,15,0.78,47500.0,60000.0,66250.0
86,87,Geosciences,24,11,0.46,1,0.09,1,1.0,,,
87,88,Mathematics,78,51,0.65,12,0.24,9,0.75,,65000.0,
88,89,Physics,38,20,0.53,3,0.15,3,1.0,,,
89,90,Psychology,211,114,0.54,10,0.09,4,0.4,,36971.0,
90,91,Statistics,17,8,0.47,2,0.29,2,1.0,,,
91,92,Pamplin College of Business,963,628,0.65,368,0.59,325,0.88,48000.0,56500.0,60000.0
92,93,Accounting & Information Systems,196,147,0.75,75,0.51,68,0.9,54000.0,56500.0,59000.0
93,94,Business Information Technology,197,140,0.71,90,0.65,83,0.92,59000.0,62000.0,68500.0
94,95,"Economics, Business",34,22,0.65,11,0.5,10,0.9,,59000.0,
95,96,Finance,207,129,0.62,81,0.63,69,0.85,50000.0,57000.0,60000.0
96,97,Hospitality & Tourism Management,75,45,0.6,26,0.6,22,0.84,34750.0,43000.0,46000.0
97,98,Management,110,64,0.58,36,0.57,31,0.86,43042.0,50000.0,60000.0
98,99,Marketing Management,156,81,0.52,49,0.6,42,0.85,34500.0,43000.0,50000.0
