,College/Major,Graduates,Respondents,% Respondents,Employed,% Employed,Reported Salary,% Reported Salary,25th Percentile,Median,75th Percentile
0,Whole University,6766,2113,0.31,1397.0,0.66,1064.0,0.76,48500.0,64000.0,75000.0
1,College of Agriculture and Life Sciences,733,154,0.21,62.0,0.4,39.0,0.63,29120.0,38000.0,46000.0
2,Agribusiness,42,16,0.38,10.0,0.63,9.0,0.9,,40000.0,
3,Agricultural Sciences,16,4,0.25,4.0,1.0,4.0,1.0,,43029.0,
4,Agricultural Technology,62,3,0.05,3.0,1.0,,,,,
5,Animal and Poultry Sciences,176,40,0.23,15.0,0.38,7.0,0.47,,29120.0,
6,Applied Economic Management,36,11,0.31,4.0,0.36,3.0,0.75,,,
7,Biochemistry,51,11,0.22,4.0,0.36,3.0,0.75,,,
8,Crop and Soil Environmental Sciences,25,5,0.2,1.0,0.2,1.0,1.0,,,
9,Dairy Science,19,4,0.21,,0.0,,,,,
10,Environmental Horticulture,25,6,0.24,2.0,0.33,2.0,1.0,,,
11,Environmental Science,33,9,0.27,6.0,0.67,4.0,0.67,,45000.0,
12,Food Science and Technology,25,9,0.36,4.0,0.44,2.0,0.5,,,
13,"Human Nutrition, Foods and Exercise",220,36,0.16,9.0,0.25,4.0,0.44,,47840.0,
14,Landscape Horticulture and Design,3,0,0.0,,,,,,,
15,College of Architecture and Urban Studies,405,112,0.28,77.0,0.69,51.0,0.66,50000.0,55000.0,65000.0
16,Architecture,126,39,0.31,29.0,0.74,17.0,0.59,47200.0,53000.0,55000.0
17,Art,50,11,0.22,5.0,0.45,2.0,0.4,,,
18,Building Construction,120,33,0.28,30.0,0.91,23.0,0.77,62000.0,65000.0,70000.0
19,Environmental Policy and Planning,15,5,0.33,1.0,0.2,1.0,1.0,,,
20,Industrial Design,34,5,0.15,4.0,0.8,2.0,0.5,,,
21,Interior Design,28,13,0.46,6.0,0.46,4.0,0.67,,40000.0,
22,Landscape Architecture,5,1,0.2,1.0,1.0,1.0,1.0,,,
23,Public and Urban Affairs,17,4,0.24,1.0,0.25,1.0,1.0,,,
24,Smart and Sustainable Cities,10,1,0.1,,0.0,,,,,
25,College of Engineering,1843,562,0.3,417.0,0.74,359.0,0.86,66560.0,73000.0,80300.0
26,Aerospace Engineering,134,45,0.34,22.0,0.49,18.0,0.82,67735.0,70072.0,75000.0
27,Biological Systems Engineering,55,19,0.35,11.0,0.58,8.0,0.73,,65000.0,
28,Chemical Engineering,111,36,0.32,25.0,0.69,22.0,0.88,67000.0,70072.0,75000.0
29,Chip-Scale Integration,2,0,0.0,,,,,,,
30,Civil Engineering,187,64,0.34,43.0,0.67,33.0,0.77,60000.0,63024.0,68000.0
31,Communications & Networking,3,1,0.33,,0.0,,,,,
32,Computer Engineering,127,43,0.34,34.0,0.79,27.0,0.79,72000.0,77700.0,90000.0
33,Computer Science,313,101,0.32,86.0,0.85,79.0,0.92,80000.0,90000.0,110000.0
34,Construction Engineering and Management,22,6,0.27,6.0,1.0,6.0,1.0,,64000.0,
35,"Controls, Robotics, & Autonomy",26,6,0.23,5.0,0.83,4.0,0.8,,74000.0,
36,Electrical Engineering,80,29,0.36,25.0,0.86,19.0,0.76,54500.0,70054.0,74500.0
37,Energy & Power Electronics Systems,10,3,0.3,3.0,1.0,3.0,1.0,,,
38,Engineering Science and Mechanics,27,9,0.33,5.0,0.56,5.0,1.0,,75000.0,
