"Departments","2011-12","2012-13","2013-14","2014-15","2015-16","2016-17","2017-18","2018-19","2019-20","2020-21"
"Accounting & Information Systems","558","590","634","640","564","510","488","478","483","511"
"Aerospace and Ocean Engineering","521","556","510","483","429","475","426","524","558","694"
"Ag, Leadership&Community Education","54","62","72","84","64","41","41","49","60","76"
"Agricultural & Applied Economics","136","147","184","214","256","271","227","190","173","163"
"Agriculture Technology 2-year Prog.","117","131","130","125","119","108","115","133","112","85"
"Animal and Poultry Sciences","436","470","485","515","561","581","612","626","636","626"
"Apparel, Housing and Resource Mgmt","274","240","216","195","201","228","271","273","265","269"
"Bio-Inspired Buildings","0","0","0","0","0","0","0","0","0","0"
"Biochemistry","559","576","606","665","666","648","567","495","476","440"
"Biological Sciences","1,571","1,519","1,373","1,256","1,167","1,062","1,259","1,346","1,463","1,444"
"Biological Systems Engineering","109","113","135","169","189","205","191","179","179","183"
"Biological Transport","0","0","0","0","0","0","0","0","0","0"
"Biomedical Engineering & Mechanics","123","113","127","194","198","165","121","99","131","175"
"Biomedical Science","0","0","0","0","0","0","0","0","0","0"
"Business Information Technology","347","450","609","741","881","1,028","1,140","1,213","1,267","1,371"
"CALS Administration","28","45","39","35","47","35","50","44","51","59"
"Chemical Engineering","310","336","302","324","317","319","301","317","291","297"
"Chemistry","283","264","278","265","218","185","182","170","191","215"
"Civil & Environmental Engineering","601","480","456","483","530","569","563","622","616","695"
"College of Natural Resources","13","6","16","15","21","26","29","26","26","24"
"Computational Tissue Engineering","0","0","0","0","0","0","0","0","0","0"
"Computer Science","402","404","523","580","647","729","808","875","982","1,215"
"Dairy Science","92","93","79","69","60","57","67","59","71","64"
"Dean - Architecture","0","0","0","0","0","0","28","34","32","49"
"Dean - Veterinary Medicine","0","0","0","0","0","0","0","0","0","0"
"Dean of Business","580","538","523","536","563","585","638","693","764","793"
"Dean of Science","0","0","0","0","118","329","461","564","741","805"
"Dean-Liberal Arts & Human Sciences","3","2","1","1","0","0","47","53","89","57"
"Dept. of Engineering Education","2,102","2,156","2,323","2,146","2,443","2,187","2,558","2,521","3,090","2,725"
"Economics","374","374","365","298","287","297","275","239","199","218"
"Electrical and ComputerEngineering","616","656","736","841","956","1,119","1,125","1,109","1,008","1,101"
"English","395","332","293","254","245","270","245","204","204","206"
"Entomology","0","0","0","0","0","0","0","0","0","0"
"Explore Technology","0","0","0","0","0","0","84","121","203","81"
"Finance, Insurance & Business Law","602","646","662","698","748","802","855","847","877","912"
"Fish and Wildlife Conservation","213","214","210","208","195","214","219","241","234","268"
"Food Science and Technology","85","96","118","105","124","119","109","87","81","81"
"For Resources & Environ Consrv","188","194","197","191","191","216","271","326","327","333"
"GRAD: Certificate Program","0","0","0","0","0","0","0","0","0","0"
"Genetics, Bioinformatics & Computati","0","0","0","0","0","0","0","0","0","0"
"Geography","129","202","228","234","228","214","226","220","210","235"
"Geosciences","100","102","105","115","115","101","79","66","79","73"
